tokens,onerilen_konular
"['i̇grenc', 'bir', 'önceki', 'bakiye', 'iken', 'şimdi', 'düşürmeniz', 'histe', 'iyi', 'olmadığınızı', 'gosteriyor']","d, i, ş, d, o"
"['cok', 'güzel', 'işlem', 'yapıyorsunuz', 'helal', 'olsun', 'haftadır', 'iade', 'işlemi', 'yapicaklar', 'orta', 'burya', 'yonleridip', 'duruyorlar', 'saçma', 'uygulama', 'herşeyde', 'kesinti', 'yapar', 'fatur', 'ada', 'gecirrirler', 'lanet', 'olsun', 'bir', 'paycel', 'uzak', 'dursun', 'bundan', 'sonra']","h, y, k, d, a"
"['yükledim', 'paycell', 'hala', 'üyelik', 'onaylanmadı', 'hesaba', 'mani', 'atiyoruz', 'yok', 'aga', 'sevmirem', 'böyle', 'işleri', 'bana', 'bankadan', 'onay', 'alacak']","b, b, ü, o, b"
"['i̇ndirdiğim', 'güne', 'lanet', 'olsun', 'bir', 'yerlerde', 'lazım', 'olur', 'indirdim', 'lira', 'faturama', 'neyden', 'kaynaklandığı', 'belirtilmeden', 'yansıtıldı', 'aşım', 'adı', 'altında', 'paket', 'aşımı', 'yapmadan', 'interneti', 'liradan', 'zorla', 'veriyorlar', 'aşım', 'yapmaması', 'vermek', 'zorunlu', 'lanet', 'olsun', 'taahhüt', 'bittiği', 'gün', 'gidip', 'türk', 'telekoma', 'geçeceğim', 'bıktım', 'sizden', 'aldığınız', 'para', 'haram']","i, a, y, l, f"
"['böyle', 'rezil', 'bir', 'site', 'olamaz', 'paycel', 'kazı', 'yapıyorsun', 'otomatik', 'olarak', 'sana', 'puan', 'veriyor', 'sırf', 'insanları', 'kandırdıkları', 'vodafone', 'geçecem', 'valla']","k, k, s, o, v"
"['böyle', 'uygulamanın', 'anına', 'koyam']","u, a, b, u, a"
"['salla', 'topla', 'puan', 'bence', 'biraz', 'fazla', 'yapabilirsiniz', 'bide', 'hemen', 'siliniyor']","f, y, b, b, y"
"['iyi', 'bir', 'uygulama', 'değil']","u, b, d, u, i"
"['tarihinde', 'hesabımı', 'doğrulamak', 'paycelin', 'denizbank', 'hesabına', 'havale', 'yaptım', 'ancak', 'zamana', 'kadar', 'hesabıma', 'geçmedi', 'paranın', 'olduğuda', 'meçhul', 'kaç', 'kere', 'mail', 'attım', 'kaç', 'kere', 'müşteri', 'hizmetleri', 'aradım', 'sonuç', 'yok', 'kadar', 'ciddiyetsiz', 'kadar', 'vizyonsuz', 'kadar', 'lakayt', 'bir', 'durumla', 'şimdiye', 'kadar', 'karşılaşmamıştım', 'yazıklar', 'olsun', 'size', 'benim', 'sorunumu', 'çözün', 'çozmesseniz', 'yide', 'alın', 'tepe', 'tepe', 'kullanın', 'haram', 'zekir', 'zıkkım', 'olsun']","h, k, d, h, g"
"['farzedin', 'ben', 'doğumluyum', 'doğum', 'tarihimi', 'girmem', 'gerekiyor', 'bir', 'saat', 'doğum', 'tarihi', 'ayarlamam', 'gerekecek', 'doğum', 'tarihini', 'kaydırarak', 'ayarlıyoruz', 'elle', 'giriş', 'yok', 'çokmu', 'zor', 'umarım', 'sorunun', 'olduğunu', 'anlatabilmişimdir', 'türkcelin', 'herşeyi', 'böyle', 'berbat', 'şahsi', 'fikrim']","s, t, d, d, d"
"['abi', 'uygulama', 'iyide', 'biraz', 'puanları', 'yüksek', 'vermeniz', 'gerekiyor', 'böyle', 'güzel', 'olcak']","y, p, b, u, p"
"['berbat', 'tamamen', 'para', 'tuzağı', 'yüklerken', 'kesinti', 'çekerken', 'kesinti', 'bşr', 'yere', 'ödeme', 'yaparken', 'kesinti', 'hayırdır', 'size', 'valla', 'iyi', 'tezgah', 'kutlarımm', 'yok', 'arkadaş', 'beğenmedim', 'beğenenler', 'totalde', 'sonu', 'yıl', 'sonu', 'olmak', 'üzere', 'kesilen', 'paraların', 'hesabını', 'yapsınlar', 'anlayacaklar', 'yazık', 'kendi', 'bankanızın', 'hesaplarını', 'hatta', 'para', 'hesabı', 'kullanın', 'onlar', 'inasancıl', 'bee']","k, p, p, p, b"
"['tek', 'kelimeyle', 'rezi̇lli̇k', 'babamin', 'üzerine', 'benim', 'hattım', 'babamın', 'kayıtlı', 'bir', 'kredi', 'kartı', 'var', 'bana', 'hesap', 'acmiyorlarmis', 'ayrıca', 'donmakasma', 'sıkıntılar', 'oluyor', 'mesela', 'durduk', 'yere', 'hesaptan', 'çıkış', 'yapıyor', 'şifre', 'diyorum', 'sms', 'gelmiyor', 'üstte', 'kalması', 'randomksksksklsks', 'iyi', 'bir', 'başlangıç', 'yapmak', 'değer', 'ben', 'artık', 'gund', 'posta', 'kodu', 'tutamadım', 'ellerinden', 'geleni', 'yapacaklarını', 'söyledi', 'onun', 'değer', 'ben', 'artık', 'gund', 'bir', 'müdahale', 'var', 'krem', 'şantili', 'kek', 'bir', 'müdaha']","k, b, b, h, k"
"['böyle', 'saçma', 'uygulama', 'olamaz', 'berbat', 'uygulama', 'haneli', 'şifre', 'gir', 'diyo', 'hane', 'girince', 'yanlış', 'şifre', 'diyo', 'sonra', 'şifremi', 'değiştiriyorum', 'seferde', 'haneli', 'olamaz', 'diyo']","y, ş, ş, ş, s"
"['kart', 'baya', 'iyi', 'kart', 'şifresi', 'yazıyor', 'bulamadım']","k, i, ş, y, ş"
"['burgerking', 'kampanyalarına', 'katıldım', 'yapmamı', 'istediği', 'görevlerden', 'birini', 'halledip', 'kodu', 'aldım', 'öbürünü', 'çoktan', 'halletmiştim', 'kod', 'gelmedi', 'müşteri', 'hizmetleri', 'konuştum', 'bana', 'böyle', 'bir', 'etkinliğin', 'olmadığından', 'bahsettiler', 'uygulamaya', 'tekrar', 'girdiğimde', 'fark', 'ettim', 'burgerking', 'kampanyalarından', 'birini', 'kaldırmışlar', 'mal', 'mal', 'yapıyorlar', 'indirmeyin', 'tavsiye', 'etmem', 'zaten', 'türkselde', 'baya', 'boş', 'hat', 'paketler', 'filan', 'pahalı']","b, b, b, e, k"
"['allah', 'böyle', 'kartin', 'belasını', 'versin', 'para', 'yatırıyorum', 'para', 'gelmiyor', 'puanlar', 'hemen', 'siliniyor', 'böyle', 'rezillik', 'olmaz', 'yıllardır', 'turkcell', 'kullanıyorum', 'nasil', 'bozdunuz', 'size', 'puan', 'bile', 'fazla', 'bana', 'katılanlar', 'yorumunu', 'beğensin', 'one', 'çıksın', 'hdjjgbhgb', 'lzsr', 'kvfdw', 'rdhkvdujcrygggg', 'oooo', 'xcv', 'haksızlığa', 'sözlü', 'üzgün', 'roddick', 'hat', 'gdgnkitfvbkoufcbktxb', 'jvm', 'bkz', 'xbox', 'guantanamo', 'cosmic', 'gdgnjitfvbkoufcbktxb', 'cochrane', 'bnm', 'çiz']","b, k, k, g, h"
"['paycel', 'hesabimizdaki', 'parayi', 'ibana', 'aktaramamak', 'nedemek', 'anlamis', 'degilim', 'hataya', 'bak', 'gülük', 'para', 'transfer', 'adedinizi', 'doldurdunuz', 'oysaki', 'hic', 'gün', 'icinde', 'para', 'transfer', 'islemi', 'yapmadikki', 'bunun', 'düzeltilmesini', 'istiyorum', 'lüfen', 'böyle', 'olacagini', 'bilseydim', 'hic', 'bir', 'sekilde', 'bulaşmazdim', 'uygulamaya', 'gündür', 'aynı', 'hatayi', 'aliyoruz', 'madur', 'olmak', 'böyle', 'bisey', 'heralde']","h, d, p, h, b"
"['paycell', 'hazır', 'limit', 'kullandım', 'paycell', 'kartıma', 'gecmedi', 'faturama', 'yansımış', 'hesabımda', 'yok', 'para', 'böyle', 'olmaz', 'sabahtan', 'belli', 'arıyorum', 'sıkıntı', 'var', 'diyorlar']","y, g, h, f, k"
"['başka', 'numaraya', 'giremiyoruz', 'sim', 'kartı', 'hatası', 'veriyor', 'eski', 'haline', 'getirin', 'lütfen', 'böyle', 'tadı', 'kalmadı', 'uygulamanın']","s, k, k, k, h"
"['böyle', 'saçma', 'bir', 'uygulama', 'olamazpaycell', 'hesaptan', 'paycell', 'karta', 'para', 'aktarımı', 'yaptımhesaptan', 'para', 'çıkışı', 'görünüyor', 'yanlız', 'karta', 'yüklenen', 'para', 'ortalar', 'yok', 'müşteri', 'hiz', 'aradım', 'çaldı', 'açan', 'yok', 'para', 'uçtu', 'gitti']","p, p, p, p, k"
"['paycell', 'hesabıma', 'gece', 'giriş', 'yaptım', 'para', 'aktardım', 'hesabıma', 'simdi', 'hesabıma', 'giriş', 'yapamıyorum', 'neymiş', 'efendim', 'kullandığım', 'sim', 'kart', 'hesap', 'numarası', 'farklıymıs', 'ozaman', 'gece', 'cektım', 'parayı', 'faturaya', 'işlendi', 'lira', 'paramı', 'cekemiyorum', 'yazıklar', 'olsun', 'uygulama', 'milyonlar', 'kullanıyor', 'bide']","h, a, p, s, c"
"['hazır', 'kart', 'limitim', 'vardı', 'paycel', 'kartıma', 'aktarmak', 'istedim', 'limitim', 'kaldı', 'fakat', 'paycel', 'kartıma', 'yüklenmedi', 'üstelik', 'faturamada', 'yansıdı', 'böyle', 'bir', 'sorunla', 'karşılaştım', 'yardım', 'lütfen']","k, k, h, p, k"
"['dakika', 'dır', 'paycell', 'musteri', 'hizmetlerine', 'baglanamadim', 'bence', 'hizmeti', 'kökten', 'kaldirin']","h, b, b, b, k"
"['yapılan', 'bir', 'saattir', 'uygulamaya', 'giriş', 'yapmaya', 'çalışıyorum', 'lanet', 'olsun', 'böyle', 'bir', 'olamaz', 'saçma', 'sapan', 'hatalar', 'veriyor', 'giremiyorum']","h, s, y, s, ç"
"['i̇nsanlar', 'sürenin', 'kısa', 'olduğundan', 'bahsediyorlar', 'bence', 'haklılar', 'zaten', 'kazanılmış', 'hak', 'biriktirmeye', 'devam', 'etsin', 'başka', 'ürünler', 'hizmet', 'alma', 'şansı', 'olsun']","s, k, h, s, a"
"['boyunca', 'paycell', 'limit', 'artırım', 'yapmadı', 'paycell', 'karta', 'para', 'verdim', 'hazır', 'limitim', 'sıfır', 'müşteri', 'hizmetlerini', 'arıyorum', 'benimle', 'dalga', 'geçiyor', 'bence', 'indirmeyin', 'insanlarla', 'dalga', 'geçiyorlar', 'sadece', 'para', 'para', 'para', 'başka', 'dertleri', 'yok']","s, p, s, i, m"
"['bişey', 'dicem', 'verilen', 'puanlar', 'yok', 'oluyor', 'allah', 'aşkına', 'bide', 'küçük', 'puan', 'lar', 'içinde', 'internet', 'verilse', 'örneğin', 'falan', 'verilse', 'ozaman', 'iyi', 'olur', 'vala', 'siliyorum', 'uygulamayı', 'lazım', 'oluyor', 'tekrar', 'indiriyorum']","i, i, s, i, v"
"['hesabıma', 'giriş', 'yaptım', 'hediye', 'dünyamdan', 'aldım', 'oda', 'gündür', 'vermedi', 'uygulama', 'birde', 'bir', 'boyunca', 'puanın', 'gidiyor', 'pardonda', 'zaten', 'dört', 'hafta', 'dört', 'sallıyoruz', 'oda', 'toplamda', 'puan', 'ediyor', 'bir', 'doluyor', 'puanın', 'gidiyor', 'ben', 'böyle', 'toplaya', 'toplaya', 'kadar', 'internet', 'almak', 'puanın', 'olması', 'lazım', 'gerçekten', 'pişman', 'oldum', 'yükseldiğime']","y, a, p, d, g"
"['yıldır', 'giremiyom', 'posta', 'değilde', 'başka', 'yöntemlerle', 'giriş', 'olsun', 'arkadaşlar', 'heabım', 'donduruldu', 'sakın', 'indirmeyin']","d, i, s, s, p"
"['bundan', 'gun', 'evvel', 'para', 'yatirinca', 'aciklama', 'kismina', 'numarami', 'yazmadim', 'gunu', 'icersinde', 'paranizi', 'iade', 'edicez', 'dediler', 'etmediler', 'mail', 'dekontu', 'atin', 'teknik', 'ekip', 'inceleyip', 'paranizi', 'iade', 'edicez', 'dediler', 'halen', 'edilmedi', 'gun', 'ortasindayim', 'evden', 'calisip', 'sisteme', 'yazip', 'aciliyet', 'kere', 'belittimne', 'arayan', 'var', 'sofa', 'cok', 'kotu', 'bir', 'uygulama', 'olun', 'bence', 'kesinlikle', 'kullanmayin', 'paranizla', 'rezil', 'edip', 'sizi', 'yuzustu', 'birakiyorlar']","k, i, p, i, p"
"['koskoca', 'turkcell', 'paycell', 'rezilliğini', 'bünyesinde', 'barındırıyor', 'anlamıyorum', 'uygulamanın', 'özellikle', 'transfer', 'özelliğinin', 'üst', 'üste', 'sorunsuz', 'çalıştığını', 'görmedim', 'bir', 'çalışsa', 'ardından', 'destek', 'talebi', 'açmadan', 'tekrar', 'çalıştıramıyorsun', 'çağrı', 'merkezini', 'uygulamada', 'menülere', 'tıklatsın', 'oluşturmuşsunuz', 'devirde', 'böyle', 'bir', 'firmanın', 'böyle', 'bir', 'uygulamayı', 'kullandırıyor', 'olması', 'şaşırtıcı']","u, ç, u, ç, b"
"['şuan', 'ödeme', 'yöntemleri', 'kısmından', 'kod', 'alamadığım', 'online', 'alışveriş', 'yapamıyorum', 'kod', 'dediğimde', 'kod', 'gönderilmiyor', 'diyip', 'başından', 'salıyor', 'gündür', 'rezalet', 'bir', 'durum', 'param', 'olmasına', 'rağmen', 'kullanamıyorum', 'kısa', 'sürede', 'çözülmesini', 'istiyorum', 'böyle', 'devam', 'ederse', 'kartımı', 'iptal', 'ettirmek', 'zorunda', 'kalacağım']","k, a, k, a, k"
"['iyi', 'olmalı']","i, o, i"
"['bende', 'ayin', 'inde', 'para', 'attim', 'param', 'yatmadi', 'incelemede', 'diyolar', 'gun', 'olsun', 'insaf']","a, b, b, o, y"
"['böyle', 'bktan', 'uygulama', 'görmedim', 'şifremi', 'unuttum', 'diyorum', 'şifre', 'yenilenmiyor', 'hesabınız', 'dondurulmuştur', 'diyor', 'beni', 'uygulamadan', 'atıyor']","ş, g, ş, y, u"
"['allah', 'si̇zi̇', 'bi̇ldi̇ği̇', 'gi̇bi̇', 'yapsin', 'resmen', 'i̇nsanlari', 'dolandiriyorsunuz', 'i̇lk', 'düzgün', 'ödemelrim', 'harcamalarim', 'var', 'olan', 'nakit', 'çekim', 'hakkimi', 'tlye', 'düşürdünüz', 'sonraki̇', 'hala', 'düzgün', 'ödemem', 'aliş', 'veri̇şleri̇m', 'var', 'şi̇mdi̇', 'tlyi̇de', 'aldiniz', 'turksele', 'yakişirmi', 'yaptiğiniz', 'koskoca', 'türksel', 'i̇nsanlarin', 'tlsi̇ne', 'göz', 'di̇kmi̇ş', 'arkadaşlar', 'sakin', 'i̇nanmayin', 'tam', 'bir', 'hirsizlik', 'çetesi̇', 'ayip', 'yaziklar', 'olsun', 'hatlarimin', 'tahüdü', 'bi̇tti̇mi̇', 'i̇ptal', 'edecem', 'herkesi̇', 'turkseli̇', 'kullanmamaya', 'davet', 'edi̇yorum', 'bunlara', 'halk', 'olarak']","h, t, a, t, t"
"['uygulamadan', 'kampqnyalardan', 'memnunum', 'paycell', 'puanlarımı', 'fatura', 'ödemesi', 'yapınca', 'işleminizi', 'şuan', 'gerçrkleştiremiyoruz', 'uyarısı', 'alıyorum', 'zamanla', 'geçer', 'dedim', 'yaklaşık', 'aydır', 'böyle']","u, a, p, y, g"
"['büyük', 'bir', 'tuzak', 'kurdun', 'vifi', 'kapat', 'lira', 'paramı', 'aldınız', 'ahlaksız', 'bir', 'şekilde', 'programı', 'çalıştırmak', 'vifi', 'kapatılıp', 'devam', 'ediniz', 'tuzağına', 'düşmeyin', 'haram', 'olsun', 'yaptıysa', 'adice']","a, e, t, k, v"
"['wifi', 'uygulamaya', 'girememek', 'nedir', 'merak', 'etmeyin', 'int', 'pakenizden', 'yemez', 'yazıyosunuz', 'wifiyi', 'zorla', 'kapattırıyorsunuz', 'fatura', 'kısıtlı', 'int', 'yok', 'mobil', 'veri', 'çılmıyor', 'girş', 'int', 'baglantısı', 'gerek', 'diyor', 'uygulamayada', 'giremiyorum', 'nası', 'olcak', 'lanet', 'olsun', 'ben', 'wifimle', 'girerim', 'sizene']","w, y, w, w, w"
"['kampanyalar', 'güzel', 'fakat', 'aylık', 'kesintiler', 'can', 'sıkıyor', 'bilmiyorum', 'güzel', 'şeyler', 'olabilir', 'uygulamada']","k, k, a, f, o"
"['hayatım', 'boyunca', 'böyle', 'resmi', 'dolandırıcılık', 'görmedim', 'mektup', 'yolladık', 'kaç', 'gündür', 'paramız', 'yatmadı']","p, d, g, r, d"
"['olmaz', 'olsun', 'boyle', 'program', 'sacma', 'sapan', 'seyler', 'yapoyorsunuz', 'vereceginiz', 'hediyeyide', 'sizide', 'allah', 'kahretsin']","v, h, y, s, y"
"['puan', 'bence']","p, b, p"
"['uygulama', 'acimliyor', 'takılı', 'sim', 'karti', 'görmüyor', 'tanımıyor', 'sadece', 'uygulamada', 'böyle']","u, s, u, k, g"
"['paysel', 'güzel', 'bir', 'uygulama', 'bir', 'kaç', 'yününden', 'saçma', 'kaçmış', 'salla', 'topladaki', 'puanların', 'silinmeyip', 'salla', 'topla', 'yaparken', 'puan', 'verilmesi', 'gerekiyor', 'başkalarına', 'puan', 'hediye', 'ettiğimiz', 'zaman', 'yine', 'saçma', 'olmuş', 'istediğimiz', 'kişiye', 'puan', 'gundermek', 'isteğe', 'bağlı', 'olarak', 'miktar', 'puan', 'gundermek', 'seçeneği', 'olması', 'lazım', 'bunlarin', 'dışında', 'iyi', 'bir', 'uygulama']","y, p, b, p, t"
"['paycell', 'puanlık', 'harcama', 'yapıyorum', 'lik', 'indirim', 'kazanıyorum', 'bakıyorum', 'harcama', 'yapabilmek', 'barkod', 'okuyucu', 'gerekliymiş', 'bayide', 'bayi', 'gezdim', 'hiçbirinde', 'yok', 'böyle', 'yapacaksanız', 'puanlarımı', 'iyade', 'edin']","i, p, h, g, y"
"['ben', 'hayatımda', 'böyle', 'rezillik', 'görmedim', 'param', 'hesaba', 'geçer', 'geçmez', 'silecem']","g, h, b, r, h"
"['paycell', 'hesabıma', 'para', 'gönderdim', 'param', 'paycell', 'hesabıma', 'yüklendi', 'iade', 'edildi', 'paramı', 'almak', 'bir', 'haftadır', 'uğraşıyorum', 'kadar', 'basit', 'bir', 'uygulamadır', 'muadillerinde', 'bir', 'zaman', 'böyle', 'bir', 'sıkıntı', 'yaşamadım', 'paycell', 'sağ', 'olsun', 'bir', 'haftadır', 'koşturuyor', 'peşinden']","h, p, e, p, g"
"['numara', 'benim', 'hesabıma', 'giriş', 'yapmıyor', 'üstelik', 'hesabımı', 'başka', 'kullanıyor', 'böyle', 'saçmalık', 'görmedim', 'hele', 'türkcell', 'den', 'böyle', 'beklemezdim']","b, s, b, ü, b"
"['i̇ndi̇rmeyi̇n', 'sürekli', 'hesabıma', 'para', 'yüklerken', 'yüklememe', 'izin', 'vermiyor', 'kere', 'oluyor', 'adamlar', 'uygulama', 'yapmış', 'kullandirmiyor', 'garip', 'hayır', 'insan', 'para', 'yüklemeye', 'korkuyor', 'içinde', 'para', 'varken', 'bloke', 'koyarsa', 'başına', 'belayı', 'şuan', 'halen', 'yükleme', 'yapamıyorum', 'güvenlik', 'ekibi', 'kimse', 'bence', 'revize', 'edilmeli', 'mağdur', 'oluyoruz']","y, p, p, y, h"
"['bir', 'yıldız', 'bile', 'vermek', 'istemiyorum', 'aşırı', 'saçma', 'bir', 'uygulama', 'nedir', 'yaaaa', 'puan', 'veriyor', 'internet', 'almak', 'istiyorum', 'alamıyorum', 'puan', 'yok', 'oluyor', 'saçma', 'sapan', 'bir', 'uygulama', 'kimse', 'indirmesin', 'bence']","v, i, u, b, i"
"['kadar', 'mal', 'salak', 'bir', 'uygulama', 'yok', 'amk', 'hafta', 'puandan', 'başka', 'bişey', 'yok', 'onunda', 'süresini', 'doldurup', 'alıyorsunuz', 'birikmiyor', 'para', 'havale', 'etsen', 'ücret', 'para', 'yatirsam', 'ücret', 'mal', 'hırsız', 'bir', 'bankasiniz', 'böyle', 'millet', 'zaten', 'zor', 'durumda', 'bunlarında', 'amacı', 'milletten', 'para', 'kopaririz', 'kısaca', 'allah', 'belanızi', 'versin', 'amk', 'çocukları']","b, b, b, b, k"
"['bence', 'iyi', 'ugulamaydi', 'sonr', 'bozuldu', 'kulanmayin']","b, k, b, i, s"
"['paycell', 'saçma', 'rezilik', 'yaa', 'şifremi', 'unuttum', 'postam', 'silindi', 'geri', 'alamıyorum', 'postamı', 'giriş', 'yapamıyorum', 'saçma', 'bir', 'yıldızı', 'bile', 'hak', 'etmiyor', 'bence']","a, ş, y, ş, g"
"['yüklemeyin', 'bence', 'kadar', 'sanlasak', 'sürekli', 'puan', 'üstelik', 'puanlar', 'belirli', 'bir', 'tarihe', 'kadar', 'gidyor', 'igrenc', 'bişi', 'ben', 'siliyorum']","s, p, p, ü, s"
"['kötü', 'yazıklar', 'olsun', 'türkcell', 'bir', 'yoklun', 'içindekini', 'bilmiyom']","t, i, o, y, y"
"['salla', 'toplada', 'puandan', 'yukarı', 'vermiyoren', 'kötü', 'puanla', 'alınacak', 'hediyede', 'puandan', 'başlıyorverdiği', 'puanıda', 'hafta', 'kullanmazsan', 'geri', 'alıyorböyle', 'saçma', 'sapan', 'uygulama', 'gnç', 'salla', 'kazanın', 'aynısı', 'indirmeye', 'bile', 'değmez', 'olan', 'internetinizede', 'yazıkturkcell', 'pintileşti', 'helal', 'olsun', 'kısa', 'zamanda', 'vodofone', 'geçmek', 'şart']","i, o, d, k, d"
"['nedense', 'hazır', 'limitimi', 'kullanamıyorum', 'mail', 'adresinize', 'gönderdiğim', 'sorunun', 'hala', 'çözülmesini', 'bekliyorum', 'defasında', 'hazır', 'limitimi', 'kullanmak', 'istediğimde', 'aynı', 'hata', 'turkcell', 'mobil', 'işleminizi', 'gerçekleştiremiyor', 'bir', 'uyarı', 'geliyor', 'eğerki', 'böyle', 'devam', 'ederse', 'uygulamayı', 'silip', 'kartımı', 'iptal', 'edeceğim']","k, l, k, m, l"
"['kimseye', 'asla', 'önermem', 'rezalet', 'bir', 'uygulama', 'kadar', 'ödüllü', 'yarışma', 'diyor', 'soruyu', 'bilin', 'diyor', 'zaten', 'sorular', 'fake', 'sen', 'cvp', 'versen', 'bildiniz', 'diyor', 'cvp', 'verme', 'ücreti', 'hırsızlığın', 'utanmazlığın', 'markalaşmış', 'hali', 'keşke', 'isminizin', 'başında', 'türk', 'olmasaydı']","s, h, u, y, ö"
"['gündür', 'indirmeye', 'çalışıyorum', 'yazık', 'inmiyor', 'telefonundan', 'kaynaklı', 'değil', 'uygulamadan', 'kaynaklanan', 'bir', 'sorun', 'böyle', 'bir', 'uygulama', 'yapıyorsunuz', 'madem', 'takip', 'edin', 'güncelleme', 'yapın', 'reklam', 'yapmasını', 'biliyorsunuz']","b, u, u, t, u"
"['tam', 'saattir', 'paycell', 'kendilerinden', 'olan', 'hatayı', 'çözüme', 'kavusturamadilar', 'sayın', 'turkcel', 'bence', 'teknik', 'ekibi', 'gözden', 'bir', 'geçirin', 'saat', 'demek', 'saat', 'çözüm', 'bulamamak']","ç, s, ç, g, s"
"['uygulamaya', 'girince', 'haneli', 'şifre', 'istiyo', 'hane', 'girince', 'şifre', 'yanlış', 'uyarısı', 'yapıyo', 'türkcell', 'hattını', 'degiştirmemek', 'bir', 'kalmadı', 'bence']","g, h, ş, ş, t"
['iyi'],i
"['lanet', 'olsun', 'giriş', 'yapılmıyor', 'sıfır', 'yıldızı', 'hak', 'ediyor']","s, y, y, y, s"
"['uygulamayı', 'silip', 'geri', 'yükledim', 'fakat', 'bir', 'şekilde', 'giriş', 'yapamıyorum', 'giriş', 'yapmaya', 'çalıştığım', 'hesabınız', 'güvenlik', 'açısından', 'dondurulmustur', 'diyo', 'iyi', 'bir', 'uygulama', 'deyil', 'yapicaksaniz', 'adam', 'uygulamalar', 'yapın']","h, u, y, g, y"
"['günaydın', 'herkeze', 'sonra', 'bir', 'uygulama', 'boyle', 'top', 'salla', 'diyorsunuz', 'hemen', 'gecmişte', 'kazandığım', 'salla', 'kazandan', 'olan', 'puanlarıma', 'süre', 'koyuyorsunuz', 'kendi', 'görüşüm', 'olan', 'düşüncem', 'hayatımda', 'görüp', 'görebiliceğim', 'berbat', 'uygulama', 'harcama', 'yaparken', 'iyi', 'harcama', 'yapmazsan', 'kötü', 'hesabımı', 'siliyorum', 'cevremdeki', 'i̇nsnlarada', 'uygulamanın', 'kendi', 'düşüncem', 'olarak', 'danışıldığında', 'beğenmediğimi', 'kendi', 'fikrimin', 'olduğunu', 'söyleyeceğim', 'hayırlı', 'cumalar', 'ayrica', 'si̇ze', 'profi̇l', 'hespa', 'bölümünden', 'yazdim']","k, d, o, o, h"
"['mobil', 'veri', 'olmadan', 'kullanılmıyor', 'tabletten', 'kullanmak', 'istediğimde', 'wifi', 'giriş', 'bile', 'yapamıyorum', 'bunu', 'lütfen', 'düzeltin', 'saçma', 'bir', 'düzen', 'tablet', 'kullanırken', 'sim', 'girişi', 'olmadığından', 'wifi', 'dışında', 'internet', 'bağlantısı', 'kurulamıyor', 'tek', 'seferlik', 'olup', 'olmaması', 'mesele', 'değil']","o, w, k, i, w"
"['paycell', 'turkcell', 'nin', 'müşterilerine', 'iyi', 'kazık', 'atabilmek', 'geliştirdiği', 'dandik', 'bir', 'bankacılık', 'sistemidir', 'para', 'çekiyorsunuz', 'masraf', 'para', 'yatır', 'masraf', 'havale', 'yap', 'masraf', 'turkcellin', 'kendine', 'ait', 'kredi', 'borcunu', 'öde', 'masraf', 'bildiğiniz', 'yasal', 'hırsızlık', 'başka', 'bir', 'değil']","b, s, b, b, k"
"['hazır', 'limiti', 'kullanabilirsek', 'iyi', 'olacak']","l, h, k, k, l"
"['gündür', 'üyelik', 'oluşturmaya', 'çalışıyorum', 'sürekli', 'işleminize', 'devam', 'edilemiyor', 'uyarısı', 'alıyorum', 'biçim', 'bir', 'uygulama', 'böyle']","ü, ü, g, e, u"
"['paycell', 'turkcellin', 'iban', 'kullanmayarak', 'iyi', 'kazıklamak', 'adına', 'kurduğu', 'kuruşluk', 'bankacılık']","k, b, p, t, t"
"['yakin', 'zamananda', 'batmaniz', 'dilegiyle', 'hakkim', 'haram', 'olsun']","h, y, b, h, o"
"['sms', 'tutarda', 'tarihler', 'arası', 'harcama', 'yapın', 'kadar', 'hediye', 'para', 'verilecek', 'diyorlar', 'sonra', 'çamura', 'yatıyorlar', 'yazıklar', 'olsun']","s, v, p, h, y"
"['paycell', 'giriş', 'yapamıyorum', 'eski', 'şifremi', 'unutum', 'bana', 'yardımcı', 'olabilir', 'misiniz']","e, ş, ş, g, y"
"['paycell', 'turkcell', 'nin', 'müşterilerine', 'iyi', 'kazık', 'atabilmek', 'geliştirdiği', 'dandik', 'bir', 'bankacılık', 'sistemidir', 'para', 'çekiyorsunuz', 'masraf', 'para', 'yatır', 'masraf', 'havale', 'yap', 'masraf', 'turkcellin', 'kendine', 'ait', 'kredi', 'borcunu', 'öde', 'masraf', 'bildiğiniz', 'yasal', 'hırsızlık', 'başka', 'bir', 'değil', 'yahu', 'kredi', 'kullanıyorsunuz', 'taksit', 'ödeyeceksiniz', 'lik', 'taksit', 'olarak', 'ödemek', 'zorundasınız', 'sebep', 'sebep', 'yok', 'ödeme', 'yaparken', 'bile', 'masrafı', 'ödemek', 'zorundasınız', 'bir', 'mantığı', 'yok', 'evet']","b, k, p, k, b"
"['kardesim', 'hesabimdan', 'paycell', 'para', 'yukledim', 'hesabimdan', 'gitti', 'para', 'paycelle', 'gecmedi', 'dekont', 'bile', 'gonderdim', 'gun', 'bekle', 'gun', 'bekle', 'ulan', 'oldu', 'parami', 'iade', 'etmediniz', 'yaziklar', 'olsun', 'buraya', 'kurus', 'yukleme', 'yapmam', 'resmen', 'paraya', 'koydular', 'tambir', 'dolandiricilik', 'nalet', 'olsun', 'size', 'parayi', 'almak', 'icin', 'savciligami', 'gidelim', 'haram', 'olsun', 'yediniz', 'paralar', 'sahtekarlara', 'guvenmeyin']","p, y, g, p, p"
