Yorum,Puan,Tarih
Ok,5,2021-06-18 10:51:05
Müq,5,2021-06-18 10:38:52
TURKCELLİ TEBRİK EDERİM HARİKA BİR UYGULAMA HERKESE TAVSİYE EDERİM PUAN TOPLAYİP İNTERNET KAZANABİLİYORSUNUZ ÖNE ÇIKMASI İÇİN RANDOM ATİYİM JSJSSJSJZKSNSİRİV BU BİR RUS BU BİR RUS BU BİR RUS BU BİR RUS BU BİR RUS BU BİR RUS BU BİR RUS BU,5,2021-06-18 10:33:16
On numara,5,2021-06-18 10:30:07
Bence iyi,3,2021-06-18 10:16:12
İyidi,5,2021-06-18 10:07:19
UYGULAMAYI YÜKLÜYORUM %100 OLUYOR VE SONRA UYGULAMA YÜKLENMİYOR. TEKRAR BAŞTAN BAŞLIYOR YÜKLENMEYE. BUNUN NEDENİ NEDİR TURKCELL,1,2021-06-18 09:42:07
Bayıldım,5,2021-06-18 09:27:00
Mükemmel,5,2021-06-18 09:19:24
Bence harika bir uygulama👍👍,5,2021-06-18 09:17:28
Harika,5,2021-06-18 09:17:13
Süper bir uygulama,5,2021-06-18 09:17:11
On numara 100 yıldız,5,2021-06-18 09:16:04
♥️♥️,5,2021-06-18 09:15:28
20 denemede anca girebiliyom biran önce düzeltilmesi lazım,1,2021-06-18 09:00:07
Çokkkkk güüüüüzel,5,2021-06-18 08:59:37
Uygulama on numara,5,2021-06-18 08:55:17
cok iyi uygulama,5,2021-06-18 08:48:52
Güzel,5,2021-06-18 08:44:08
Süper,5,2021-06-18 08:38:56
TURKCELL BİZİM İÇİN HARCADIKÇA KAZAN DİYE BÖYLE BİR UYGULAMA YAPMIŞ SÜPER PUANLA GB BİLE ALABİLİYORSUN 👍,5,2021-06-18 08:37:55
güzel,5,2021-06-18 08:31:39
Çok güzel bir uygulama,5,2021-06-18 08:22:56
Gercekten cok iyi uygulama bence indirin,5,2021-06-18 08:22:26
Mukemmel,5,2021-06-18 08:08:01
Güzel uygulama,5,2021-06-18 08:02:25
Super,5,2021-06-18 07:44:18
Beğeneceksiniz,5,2021-06-18 07:42:38
Diururuu,5,2021-06-18 07:18:04
Çok sevdim,5,2021-06-18 07:09:25
Mobil ödeme diye bir uygulama var hiç kullanmadım ama dolandırıcılık mı sahtekarlık hiç haberin olmadan faturanıza yüklü bir para gelmiş hep sahtekarlık dolandırıcılık sakın ha bu uygulamaları indirmeyin,1,2021-06-18 06:49:16
Harika,5,2021-06-18 06:44:19
Mükemmel,5,2021-06-18 06:42:59
Super,5,2021-06-18 06:37:39
mükemmel,5,2021-06-18 06:26:19
Iyi,5,2021-06-18 03:12:54
Guzel,5,2021-06-18 02:37:02
Çok yararlı,5,2021-06-18 02:36:34
Olumlu,5,2021-06-18 02:23:50
Güzel,5,2021-06-18 02:01:39
Çok iyi ya,5,2021-06-18 01:37:09
Harika,5,2021-06-18 01:18:41
👍,5,2021-06-18 00:54:56
Memnun oldum Hlhlh,3,2021-06-18 00:37:36
🥲😘,5,2021-06-18 00:32:12
👍,5,2021-06-18 00:19:58
Turcel salla kazan 1500 puan verdi ne yapam,5,2021-06-18 00:19:56
Puanları birazdaha fazla verse süper olacak,4,2021-06-18 00:18:01
Süper,5,2021-06-18 00:13:21
Mükemmel,5,2021-06-17 23:38:44
By yaptığınız dolandırıcılık ben bişey yqpmadan hesabımdan 100 tl alınıyor bu da hesabıma yansıyo 1 yıldızı bile haketmiyor (Bu benim cihazımın sorunu değil),1,2021-06-17 23:15:39
Seviliyorsun,5,2021-06-17 23:04:39
Güzel bir uygulama gnç veya paketler yeterince yok türkcell hesabım uygulamasındaki bütün seçenekler olması lazım,5,2021-06-17 22:56:02
Yaraaaaaa,5,2021-06-17 22:36:09
Kanbanya lar mükemmel 10 tl harca sana 10 tl ve 1000 puan veriyor. Mükemmelsin.,5,2021-06-17 22:34:00
Mükemmel bir uygulama,2,2021-06-17 22:20:17
Beğenmedim çünkü hiçbir artisi yok,1,2021-06-17 21:35:37
Harika ötesiii,5,2021-06-17 21:07:59
Ç O k Iyi,5,2021-06-17 20:47:32
HARİKA,5,2021-06-17 20:46:25
Bemce baya güzel kampanyalar falan özellikle de başka bi karttan o kartın bilgilerini yazıp para yatırabilmek.,5,2021-06-17 20:40:51
🌹⚜️,5,2021-06-17 19:53:16
Sizi seviyorum,5,2021-06-17 18:34:26
Mükemmel,5,2021-06-17 17:33:41
Cok güzel uyguluma,5,2021-06-17 17:10:30
Gayet kullanışlı güzel bir uygulama tavsiye ederim herkese denemeden anlayamazsınız önce kullanın sonra karar sizin,5,2021-06-17 17:02:04
Kartımı aktifleştiremiyorum.,1,2021-06-17 16:51:38
Bence harika,5,2021-06-17 16:43:46
Harika,5,2021-06-17 16:36:33
Hesabım dondurulmusru,1,2021-06-17 16:32:09
Bence harika,5,2021-06-17 16:05:58
Çok iyi ama fatura ödemeleri ni direk paycell hesabımdan odeyebilrsek daha iyi,5,2021-06-17 15:24:02
Parayı hesaba aktaramiyorum hiç iyi değil mobil ödeme gerçekleştirilmedi diyor,1,2021-06-17 15:20:52
Mükemmel,5,2021-06-17 14:59:44
Bu nedir kesinlikle kullanmayın kendi kendine 68 TL lik satın alma işlemi yapmış ben bunun kadar kötü bişey görmedim sakın indirmeyin,1,2021-06-17 14:52:40
Gün arka cad arka yap arka arka cad yap,5,2021-06-17 14:01:43
Sadece tukcell e özel şeylerini olması kötü olmuş lütfen diğer oparotörleride ekleyebilirsiniz,5,2021-06-17 14:00:31
Güzel,5,2021-06-17 13:59:07
Çok guzel,5,2021-06-17 13:52:03
Her türlü kolaylığı sağladığı için teşekkür ediyorum,5,2021-06-17 12:41:12
Başka telefonla başka paycell hesabına giriş yapamıyoruz bunu geri getirin haricinde mükemmel bir de benim faturamda 1000 puan gelmesi gerekiyo her ay onuda verirseniz sevinirim .,3,2021-06-17 12:27:19
Iyi,5,2021-06-17 12:24:12
👍,5,2021-06-17 12:22:38
Aldatmaca ve açıklama yok hersey oldu bitti,1,2021-06-17 12:19:32
Uygulamaya giriş yapıyorum bir den kendini ekrandan atiyor,1,2021-06-17 11:56:31
Bazen pare kesiyo aylık onu dakesmese,4,2021-06-17 11:51:47
"Çok güzel bir uygulama, lakin fatura ödemelerde bazı kurumlar bulunmuyor, en kısa zamanda diğer kurumların eklenmesi dileğiyle..",5,2021-06-17 11:17:05
Bence süper ihtiyaç acil olursa gideriyor,5,2021-06-17 10:19:12
Merhaba kimlik doğrulanması olmuyor yardımcı olursanız sevinirim,3,2021-06-17 09:55:31
Daha fazla puan verse daha iyi,5,2021-06-17 09:07:01
ilkten anlamadım ama güzel uygulama,5,2021-06-17 09:01:53
Tam anlamıyla kazık. programı açıyorum işlem ücreti kapatıyorum işlem ücreti boyna kesiyor nasıl sistem yapmışlarsa çözemedim. Ama tek anladığım bir şey var bulaşmamak sakın haaaaa bulaşmayın.mecburı tek yıldız verdim yoksa yayınlamıyorlar..,1,2021-06-17 08:50:30
Yeter,1,2021-06-17 08:16:29
Mükemmel,5,2021-06-17 07:27:58
Çok güzel,5,2021-06-17 07:19:20
Ben fayda gördüm birde para yükleme kolaylığı olsa bayiler biraz uğraşmak istemiyorlar haklı.olarak,5,2021-06-17 06:53:36
Güzel bir uygulama,5,2021-06-17 05:29:09
Muhteşem,5,2021-06-17 05:20:12
👍😄,5,2021-06-17 03:22:05
"Siz ne sacma bi ekipsiniz. Hesabima para atiyorum, aciklamada hata var diye parami bekletiyosunuz. Tekrar para atiyorum bu sefer yukleniyor ama hediye n11 veya google play karti satin alamiyorum. Satin almak icin hazir limit istiyor, kartimda para olmasina ragmen kullandirtmiyosunuz. Fatura odemeye puan verecegiz diyosunuz, fatura odemeye tikliyorum ya kurumla mutabakat var diye hata veriyosunuz yada fatura yok diye. Insanlari kandirmaksa isiniz buradan bagiriyorum SAHTEKARLIK YAPIYORSUNUZ..",1,2021-06-17 02:30:12
Mükemmel,5,2021-06-17 00:54:55
Muq,5,2021-06-17 00:07:30
Çok iyi,5,2021-06-16 23:48:10
Süper,5,2021-06-16 23:35:59
Gayet güzel ve faydalı,5,2021-06-16 23:18:34
Neden sürekli para yüklemek istedikce hata veriyorsunuz anlamıyorum çok saçma bankadan bu paycell hesabıma para yüklemek bu kadar zor olmamalı şu sorunu düzeltin artık,1,2021-06-16 23:04:23
Yarramı ye,1,2021-06-16 22:43:30
"Salla kazandan 10 TL verdi, nerde kullanıcaz, göremiyorum, bu kadar az bilgi olur mu, öde diyor 10 TL yok, fatura ya yazmış, dolandırıldık turkcell tarafından, Nereden bize ulaşınmış yok öyle bir şey dolandırıcılık işiniz cimere yazdım savcılığa verdim",1,2021-06-16 22:37:57
Faturaları toplu ödeme yapsa iyi olur tek tek sıkıcı,5,2021-06-16 21:58:02
Çok güzel,5,2021-06-16 21:47:20
Mükemmel,5,2021-06-16 20:31:20
Çok iyi biraz daha limitleri yükseltmeler daha iyi olacak nence,5,2021-06-16 20:02:56
Hesap doğrulamak için ziirat bankasıda eklensin acilen,5,2021-06-16 19:50:06
Harika,5,2021-06-16 19:23:24
Iyi Teşekkürler,5,2021-06-16 19:21:42
Abi mükemmel,5,2021-06-16 19:05:17
Son guncellemden sonra çok kötü oldu kimlik dogrulamsini yapmıyor müşteri hizmetlerini aradım başında 90 olarak kişinin kendi banka hesabından onaylamasi için parayı gönderdim ama onaylamiyor eposta gönderdim destek amaçlı geri dönüş yapmıyorlar son guncellemden sonra çok kötü olmuş,1,2021-06-16 18:58:52
Güzel uygulama,5,2021-06-16 18:28:32
Bilemem,1,2021-06-16 18:18:30
İyi,5,2021-06-16 18:13:44
Çok güzel uygulama,5,2021-06-16 18:12:10
👍,4,2021-06-16 18:07:53
Güzel uygulama bence,5,2021-06-16 17:43:05
Güvenliğiniz için hesabınız dondurulmuş diyor ne yababilirim,1,2021-06-16 16:42:48
Güzel,5,2021-06-16 16:07:15
On numara,5,2021-06-16 16:00:30
Şifremi unuttum eski e postam yok kayıtta doğrulama yapamıyorum düzeltin şunu telefon üstüne doğrulama yapmak istiyorum olmuyor hesabıma hicbirşekilde giriş yapamıyorum,1,2021-06-16 15:55:49
İyi,5,2021-06-16 15:51:14
👏👍,5,2021-06-16 15:40:56
Efsü,5,2021-06-16 15:17:35
Super,5,2021-06-16 14:22:04
Çok iyi,5,2021-06-16 13:36:37
Harika beyandım her zaman tüm güzelikler olsun,5,2021-06-16 13:28:10
Güzel,4,2021-06-16 13:28:03
Herseyinle harikasın turkcell:) turkcell kullanicisi oldugum icin cok sansliyim...,5,2021-06-16 11:56:42
Paye kartım çalışmıyor uygulamada kartım aktif amaa ödeme yaparken kartım görünmüyor,2,2021-06-16 10:55:49
Harika,5,2021-06-16 10:47:33
Siz neden donduruyorsunuz şu uygulamamı neden e postadan da cevap net alamıyorum,1,2021-06-16 10:42:13
Süper efsane,5,2021-06-16 10:33:05
Uygulama genel olarak çok iyi fakat ben bir alışveriş sitesinden kitap sipariş ettim sonradan alışverişi iptal ettim. İşlem geçmişi yerinde paramı geri verdiği gözüküyor ama kartta o para yok sorunu düzeltirseniz çok iyi olur,4,2021-06-16 09:33:59
👍👍👍👍,5,2021-06-16 08:42:03
Müthiş,5,2021-06-16 07:12:46
"Bana 100 puan dışında puan pek gelmiyor , ödeme yaptığımda bile gelmiyor geçen gün 90 puan geldi ama yine de kolaylık sağlıyor bu uygulama",4,2021-06-16 06:22:57
Memnun kalmadim,1,2021-06-16 05:33:25
Süperr,5,2021-06-16 02:21:04
Harika,5,2021-06-15 23:39:47
uygulamadan surekli sms geliyordu izin iptal yazdim hala geliyor bende aradim musteri hizmetlerini anlayacaklari dilden konuştum...dilerim bir daha gelmez çünkü işin sonu savcilikta biter!!!,1,2021-06-15 23:13:05
Guzel,5,2021-06-15 22:53:52
Uygulama gayet güzel,5,2021-06-15 21:56:15
Super bir uygulama,5,2021-06-15 21:27:30
Super,5,2021-06-15 21:03:07
Güzel,5,2021-06-15 20:33:15
👍 👍 👍 Gayet güzel 😊,5,2021-06-15 20:26:11
COK GÜZEL,5,2021-06-15 19:54:30
Çok iyi teşekkür ederiz böyle güzel bir uygulama yaptığınız için,5,2021-06-15 19:54:14
Aşı randevusu alırken 68 TL aylık ücretle paycell nasıl oluyor. Lütfen iptal edin ve ücretini iade edin. Ben üyelik istemiyorum,1,2021-06-15 19:45:28
Arkadaş davet ettim ona puanı verdi bana vermedi,1,2021-06-15 19:37:59
Çok iyi ve güzel uygulama deneyin derim 👍🙂,5,2021-06-15 19:18:56
Müq,5,2021-06-15 18:51:12
Çok faydalı bir uygulama kredi falan veriyor hesabına para falan yatırıyorsun,5,2021-06-15 18:45:06
Fiyatları düşürün çok fazla değilmi? Diğerleri hiç ücret almıyor. Ücret almayın demiyorum ama fiyatları düşürün yoksa kimse kullanmaz,2,2021-06-15 17:43:24
"Papara hesabımla paycell e para yükledim ama paycell hesabında başkasının kartı kayıtlıydı ben uygulamayı yeni yükledim. Yüklediğim para başka kart a , para gönder e tıklayıp kendi hesabıma geri atmayı denedim doğrulama istedi doğrulamayıda yapamıyorum başka kart olduğu için tıkandım kaldım . Paramı iade edin !!",1,2021-06-15 17:42:53
çoksel,5,2021-06-15 17:40:13
Uygulama çok basarili ve kullanisli,5,2021-06-15 17:32:04
Teşekkürler,5,2021-06-15 17:24:25
Güzl,5,2021-06-15 16:54:51
Iyi,3,2021-06-15 16:51:08
👏👏👏👏,5,2021-06-15 16:45:39
Güzel olmuş gayet memnunum,5,2021-06-15 15:50:39
Her şey iyi güzelde benim ayım doldu faturamıda ödedim ama halen limitim yenilenmedi yardımcı olursanız sevinirim,4,2021-06-15 15:22:29
Mükemmel,5,2021-06-15 15:03:20
Süper,5,2021-06-15 15:00:14
Para yAtrmiyom,3,2021-06-15 14:42:44
Good,5,2021-06-15 14:19:13
Teşekkürler,5,2021-06-15 13:52:46
Bazi hatalari var,3,2021-06-15 13:43:15
Mükemmel ötesi 👌👌👌,5,2021-06-15 13:40:27
Bence güzel uygulama ama bende şu an 5000 bin puan var kulanamıyorum 1 ay sonra kulana bilirim niye izin vermiyor bu sorunu çözmeniz gerekiyor,5,2021-06-15 12:58:05
Harika,5,2021-06-15 12:26:00
ÇOK GÜZEL BİR UYGULAMA,5,2021-06-15 12:20:18
Paycell puanı nasıl kazanılıyor?,4,2021-06-15 12:06:55
Sadece turkcelmi,4,2021-06-15 11:38:43
Gayet iyi,5,2021-06-15 11:02:00
Çok güzel uygulama için teşekkürler,5,2021-06-15 10:35:12
İnanılöaz abi ya varya tek kelime inanılmaz,5,2021-06-15 09:45:43
👎,1,2021-06-15 09:13:25
Harika lakin sadece yoğunluk olarak İstanbul odaklı biraz daha Anadolu odaklı olursa mükemmel olacak,5,2021-06-15 09:12:44
Muk,4,2021-06-15 08:37:47
Felaket,5,2021-06-15 08:21:19
Hediye dünyam zor zamanlarda cok güzel,5,2021-06-15 07:30:30
Süper,5,2021-06-15 07:00:32
Bravoo,5,2021-06-15 06:05:28
Cok güzel hosuma gitti,5,2021-06-15 05:07:16
Cok iyi,5,2021-06-15 04:27:16
Bence çok güzel kampanyalar yapmışlar,5,2021-06-15 03:04:08
İii yerine goy,5,2021-06-14 23:52:09
Basarılı,5,2021-06-14 23:48:37
İyi bir uygulama,5,2021-06-14 22:30:20
Hediye İnternet için teşekürler,5,2021-06-14 22:05:11
Kolay şekilde ödeme,5,2021-06-14 21:53:08
Mükemmel diyorum başkada birşey demiyorum öncelikle sorun yaşamıştım ve müşteri hizmetlerini aradım hepsi çok nazik ve işlerini bilen insanlar bana çok güzel yardımcı oldular,5,2021-06-14 21:27:13
Güzel uygulama donuyo ya yardımcı olurmusunuz,5,2021-06-14 21:08:37
Efsana,5,2021-06-14 21:04:02
Mükemmel,5,2021-06-14 21:02:06
iyi,5,2021-06-14 20:47:54
Uygula.a tekrar ediyor indirmeyi ama inmiyo,1,2021-06-14 20:45:50
Güzel uygulama,5,2021-06-14 20:07:26
İyi,5,2021-06-14 19:55:16
Guzel,5,2021-06-14 19:24:33
iyi yani,5,2021-06-14 18:54:19
Turkcell yaparsa kötü olmaz,5,2021-06-14 18:42:22
Uyugulama çöktü yaramaz cüzdanıma giremiyorum limitim 0 oldu birden bire müşteri hizmetleride yok matap yok,2,2021-06-14 18:33:04
Tek sorun bazen siyah ekran veriyor ve arıyor onun dışında mükemmel.,4,2021-06-14 18:22:43
yemin ediyorum ki sakın böyle bir uygulamayı indirmeye çalışmayın bedava para kazanmayı de düşünmeyin bu uygulama sadece yapsa yapsa sizi batırır bence size önceden söyleyeyim beşyıldız vermemin hakkı sadece öne çıkması için yaptım yorumların en öne çıkması için herkesin görmesi için yaptığım lütfen bu yorum üstüne yorum yapmayın gerçekten sakın indirmeyin size 50 TL edecekler size ama bu bedava mı hayır 100 TL veriyorsunuz 200 lirayı karşılık 200 TL,5,2021-06-14 18:02:30
Kartimi kapattilar ondan 2 yildiz,2,2021-06-14 17:39:54
Güvenlik olarak mobill veri açıp wifi kapatmamız ne kadar saçma benim telefonum kırıldı tabletimden girmek istiyorum ama mobil veri yok nasıl giricem ????,5,2021-06-14 17:13:46
Çooook iyiiiii,5,2021-06-14 16:02:16
İyiyiyiyiyi,5,2021-06-14 16:00:38
👍,5,2021-06-14 15:54:34
Uh,5,2021-06-14 15:46:14
Çokkk iyyyii,5,2021-06-14 15:35:09
Çok güzel uygulama ancak 2 adet genişletilmesi gereken husus var. 1. Turkcell Türkiye'nin bunu sadece Turkcellilere özel olmaması gerek. 2 ci ise Türkiye'deki tüm kurum ve kuruluşlara ödeme para çekme imkanı olması şart BAŞARILAR,4,2021-06-14 15:31:29
Turkcell'den 2 yıldır hizmet alıyorum ve şunu söylemek istiyorum üstün bir hizmet vermekteler,5,2021-06-14 14:58:37
Güzel bı uygulama,5,2021-06-14 14:32:22
Kimse indirmesin,1,2021-06-14 14:31:36
İyi çok iyi,5,2021-06-14 14:19:15
Mukemmel,5,2021-06-14 14:06:47
harika,5,2021-06-14 13:58:29
Zırt pırt sms atıyorsunuz. Sırf bu yüzden kaldırdım ve hesabımı sildim. Sizin reklam mesajlarınızı her gün her gün almak zorunda değiliz.,1,2021-06-14 13:27:36
Guzel,4,2021-06-14 12:54:57
Baya iyi tavsiye ederim,5,2021-06-14 12:47:23
Çok iyi,5,2021-06-14 12:27:50
Nfc ile ödeme seçeneği ne zaman gelecek merak ediyorum,3,2021-06-14 12:27:22
Harika,5,2021-06-14 12:27:19
Para transferi konusunda sıkıntı çok,5,2021-06-14 12:19:04
Çok iyi uygulama,5,2021-06-14 11:27:29
Su faturasını ödeyecem Ankara aski içinde yok,1,2021-06-14 10:59:45
Muhteşem bir uygulamaaa,5,2021-06-14 08:29:49
Harika bir uygulama,5,2021-06-14 06:29:00
Gayet başarılı ama daha çok kurum çeşidi ve otomatik ödeme seçeneği olmalı,5,2021-06-14 01:26:34
İlk başlarda baya bir sıkıntılıydı lakin her geçen gün daha iyiye gidiyor..,4,2021-06-14 00:21:29
Fazla para kesmezse iyi bir uygulama aslinda.Hat bakiyem ile paket alabildim +,3,2021-06-14 00:17:54
"Bence Uygulamanız Çok güzel olmuş ama ben giriş yapamıyorum Çünkü güvenli giriş istiyor, eskiden giriş yapıyordum ama sanal kartım'da 750 Tl Var, LÜTFEN Güvenli girişi kapatın nasıl giriş yapamıyorum ?, Çünkü Benim Telefonum Kontörlü Ve GB ti yok alamıyorum lütfen,  güvenli girişi Kapatın.",5,2021-06-14 00:13:58
Daha önce yükledim sildim fatura fazla geliyor İnternet hediye görmedim ben,1,2021-06-14 00:12:17
Harika bence,5,2021-06-13 23:44:30
Guzel bir uygulama oyuna bazen para yatırabiliyom,5,2021-06-13 22:37:39
Müşteri hizmetleri fln harika bi uygulama bence 5 yıldızı fazlasıyla hakeder,5,2021-06-13 21:22:48
Teşekkürler,5,2021-06-13 21:00:22
Çok güzel bir uygulama 10 numara 5 yıldız,5,2021-06-13 20:39:18
Super,4,2021-06-13 18:32:29
İyi,5,2021-06-13 18:08:21
#PAYCELL! SEN ÇOK GÜZEL BİR #HIRSIZSIN! 😡🤬 Şuan kadar 49tl lik ve bide 95tl lik paketler parasını benden kisti ama numarayı paket geçmedi Öyle param gitti 😕 Talep oluşturdum ama müşteri hizmetleri hep boş boşuna cevap veriyorler! 🤥,1,2021-06-13 18:02:00
Super,5,2021-06-13 17:52:59
Süper,5,2021-06-13 17:23:54
Çok güzel kampanyalar mevcut. Ayrıca arada jest olarak Google Play'de kullanmak üzere hediye bakiye vermeniz çok hoş. Sayenizde e-kitap alarak okuyorum.,5,2021-06-13 17:17:38
Mükemmel kalite,5,2021-06-13 17:11:26
Giriş sms i gelmek bilmiyor. Berbat,1,2021-06-13 16:58:40
1 aydır şifremi yenilemeye çalışıyorum bir türlü gelmiyor o e posta,1,2021-06-13 16:13:41
Çok iyi,5,2021-06-13 16:12:53
Mükemmel bi uygulama,5,2021-06-13 15:46:15
Hesabımda ki parayı kullanamıyorum hata veriyor,1,2021-06-13 15:39:40
bol bol internet veriyor harika bence,5,2021-06-13 14:30:49
Mantıklı bazı yerlerde ama fazla pahalı çaktıpı durumları var,5,2021-06-13 14:02:01
Harika,5,2021-06-13 13:55:30
çok hos,5,2021-06-13 13:48:01
Seviyorum trcel,5,2021-06-13 13:23:57
Mükemmel uygulama tavsiye ederim,5,2021-06-13 13:11:34
Çok iyi,5,2021-06-13 13:03:32
13 haziran 2021 tarihinde tc kimlik bilgilerimi paylaştım bilgilerimim dışarıya paylaşması durumunda mahkemeye vereceğim,4,2021-06-13 12:56:28
Çok iyi,5,2021-06-13 12:47:05
Süperrr,5,2021-06-13 12:36:15
Müq,5,2021-06-13 12:08:05
İyi,5,2021-06-13 12:03:32
Güzell,4,2021-06-13 11:55:49
Gayet güzel bir şey ben beğendim 25 lira yatırdım brawl stars içinde 18 tl yatırdık şimdi ise block craft için 1.59 tl ona da vercem,5,2021-06-13 11:45:23
Puanla innternet alıyorum üzgünüm hatası alıyorum ve boşa gitti okadar puan 😡,2,2021-06-13 11:43:01
Uygulama ve sistem güzel,5,2021-06-13 11:09:19
😁,5,2021-06-13 10:51:11
👏👏👏👏👏👏👏,5,2021-06-13 10:40:21
Mukemmel,5,2021-06-13 10:04:08
eh işte diyerek 3 Yıldız vermiştim.. Ama Turkcell Kendisini Geliştirmeyi ve Benim Gibi Kalıcı Kullanıcılarını Herzaman Daha Çok Memnun Etmeyi Başarıyor.. Bu Yüzden 5 Yıldızı Hakediyor.. Başarılarınızın Devamını Dilerim..,5,2021-06-13 09:57:09
Güzel,5,2021-06-13 09:28:21
cidden berbat birşey alıcam kartınız reddedildi diyor sorun ne?,1,2021-06-13 07:34:35
Beş yıldızı hak ettiğini düşünüyorum. Emeği geçenlere teşekkürler. ☺👍😊,5,2021-06-13 03:40:11
Hediye dünyamdaki hediyelerin daha çok çeşitlendirmeleri lazım,1,2021-06-13 03:08:41
Lütfen aylık ücretini Kaldırın ve neden alıyunuz bunun..amacı ne.?,1,2021-06-13 02:32:16
Hiçbir kartım ekli olmamasina rağmen hiç kart ekliyemiyorum maksimum kart sınırına eristiniz diyor kart yokki erissem saçmalık ya bosu bosuna paycell kart aldik o zmn 😡,1,2021-06-13 02:08:14
Güzel uygulama tavsiye ederim,5,2021-06-13 00:21:22
Guzel,5,2021-06-13 00:16:29
Gayet iyi,5,2021-06-13 00:07:20
Mük,5,2021-06-12 23:50:13
Teşekürler harika müthiş görünüyor güncelleme,5,2021-06-12 23:43:44
Güzel uygulama hak ediyor,5,2021-06-12 23:34:46
Uygulamaya girilmiyor. Silip yeniden yükledim ekran bembeyaz hiç açılmıyor,2,2021-06-12 23:06:33
Mükemmler yapıyorlar işlerini,5,2021-06-12 22:25:37
Muhteşem,5,2021-06-12 21:08:31
Hesap doğrulamak için ziraat bankasında eklensin lutfen,4,2021-06-12 20:43:21
Uygulamada yeniyim ama tüm uygulamaların başarı ile tamalarsam siz yidiz isteyin yeterki yağdırıyor yağdırırken.,4,2021-06-12 20:03:43
Guzel,5,2021-06-12 19:35:23
Tm sorun yok,5,2021-06-12 18:22:55
Kakaka,5,2021-06-12 17:26:05
başarlı bir uygulama,5,2021-06-12 17:16:30
Uygulamayı kullananlar kendi numarası üzerinden işlem yapmıyor mu?????? Uygulamada hiçbir kaydım olmamasına rağmen sürekli şu nolu faturanız ödendi diye sms alıyorum. Müşteri hizmetleri yanlışlıkla sms gönderildiğini söylüyor. Rahatsız edici olmaya başladı artık,1,2021-06-12 17:04:28
Çok sevdim onu,5,2021-06-12 16:24:35
Bencedeharika,5,2021-06-12 15:36:02
Iyi,5,2021-06-12 15:18:59
Perfect,5,2021-06-12 14:10:34
Turkcel cok harika bir firma. Sadece su tek tikla reklam isinede son verseler daha iyi olacaklar.,5,2021-06-12 13:46:07
süper,5,2021-06-12 13:35:33
Fçvv,5,2021-06-12 12:49:55
Parmak iziyle giriş seçeneğini seçmeme rağmen bu özellik kendi kendine deaktif oluyor. Düzeltme: hiç bir sıkıntı yok. Uygulamayı keyifle kullanıyorum. Hazır limit biraz daha yükseltilebilir. 1200 TL hazır limitim var 600 TL sini çekebiliyorum. Diğer 600 TL sadece turkcell içindeki harcamalarda kullanılıyor. Bu bence çok fazla 1200 TL nin en az 1000 tl sini cekebilsek daha iyi olur.,5,2021-06-12 12:34:37
Çok yararlı bana göre,5,2021-06-12 12:31:43
Kötü,1,2021-06-12 11:50:25
Allah'ın belaları ya. Bankadan para atıyorum paycell hesabıma en az 20 günde geçiyor. Diyorum askerdeyim paramı buraya yolladım yapabileceğimiz birşey yok diyorlar. Bu sabah yine aradım aciliyet belirtiyoruz diyorlar ya zaten 20 gün oldu neyin aciliyeti. Yazık ya yazık size bidaha turkcelli olanında paycell indireninde,1,2021-06-12 11:45:56
"İyi bence ,😉🤭",5,2021-06-12 11:08:09
Sizlere ulasabılrcegımız numaranız var mı acaba,1,2021-06-12 11:00:52
Atu Iyiyi Siz nasilsiniz gununuz hayirli rizkiniz bekeketli plus murat abi The first time you,5,2021-06-12 10:32:45
Efsane,5,2021-06-12 10:17:29
Lan dolandiricilar sizin amk paycell numarasiyla hattaki numara farkli diyir farkliysa sms sifresi nasil geliyor pic,2,2021-06-12 09:41:23
Beğendim güzel bir uygulama,5,2021-06-12 09:31:49
Çok iyi,1,2021-06-12 08:02:18
Ben uygulamayı beğendim herkese tavsiye ederim ama uygulamada bir sıkıntı var ben puanları salladığım halde puanlar sıfırlanıyo nültfen bunu düzeltin onun dışında herşey mükemmel...👍,5,2021-06-12 07:17:51
Güzel,5,2021-06-12 06:44:38
Yok,5,2021-06-12 01:03:50
Vodafone için puanlarla alınan hediyeler çoğaltılmalı,5,2021-06-11 23:58:58
Süper,5,2021-06-11 23:53:11
Süper ama gelismeli daha çok,5,2021-06-11 23:22:29
Super,5,2021-06-11 22:57:29
Süper,5,2021-06-11 22:55:12
Çok güzel ya,5,2021-06-11 22:32:21
Senin gibi uygulamanın anasını avradını sıkım la hesabıma neden giremiyorum ben😬😬,1,2021-06-11 22:17:00
Açıomiyor yüjlemiyorrr depolamayı az yapınnnn😡😡😡😡😡💩💩💩💩,1,2021-06-11 21:38:10
Süper,5,2021-06-11 21:04:04
Çok güzel bir uygulama teşekkür ederim,5,2021-06-11 20:56:19
sifremi unutum diye artık paycele giremiyom,2,2021-06-11 20:33:35
4 saat oldu daha para gelecek maşallah çok hizlilar,1,2021-06-11 20:11:01
Süper birşey,5,2021-06-11 19:36:08
Resmen soygun kesinlikle onermiyorum 200 tlye 12 TL işlem ücreti kesiyor sacmaligin ve soygunun daniskasi,1,2021-06-11 19:28:21
İdare eder.,3,2021-06-11 17:40:50
Teşekürler,5,2021-06-11 16:58:27
Çok başarılı,5,2021-06-11 16:57:51
